Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound3635,6.898218194,6.80909094,6.812741839,6.812737003,6.801156808,6.732405818,6.586197778,6.755829388,6.885199892,6.844769277,6.784385151,6.819357272,6.702805579,6.693102981,6.865297336,6.759735907,6.778142048,6.818294714,6.659564841,6.59494246,6.768267278,6.856977535,6.835572472,6.78554148,6.744596875,6.819395978,6.704955385
Compound2335,7.181409184,7.118996463,7.137670405,7.112954744,7.035746367,7.340503723,7.054177667,7.342610597,7.055339697,7.178567902,7.132279081,7.107907565,7.198243741,7.11737632,7.14701342,7.150327668,7.408713696,7.195548085,7.140065808,7.228109135,6.785844167,6.897022555,7.035980367,7.171277937,6.908936611,6.870602493,7.080002935
Compound266,7.63003623,7.463530908,8.166656099,7.329188506,7.442765946,7.599809947,7.949734874,7.307107098,7.886578569,7.940582132,7.611613416,8.311026335,7.909080605,7.672903408,7.842427911,7.4644093,7.798501838,7.802415165,7.662902844,7.596847958,7.410646272,7.566151491,7.813148271,7.491197058,7.705215346,7.906609265,7.420396028
Compound1361,6.985529204,7.182901083,7.33040714,7.047182106,7.479308299,7.249774153,7.368504067,7.428533765,7.39068621,7.566858066,7.34699806,7.31245357,7.334718833,6.848565252,7.140338802,7.39003372,6.312679818,7.180792046,7.277117966,7.211061754,7.444738687,7.440846172,6.957791001,7.441358197,7.402282926,7.031905631,6.670731897
Compound2582,6.749078161,6.675924954,7.033793706,6.871648323,6.782508201,6.926313694,6.928391604,6.910242559,6.945537028,6.709934404,7.057101573,6.791763657,7.055815245,6.884300666,7.025298735,6.891837784,7.008440935,6.854795345,6.896472702,6.727981125,6.606609817,6.866149462,6.907808283,6.924907985,6.951123988,6.90708384,6.727884952
Compound2875,6.996746879,7.060581147,6.637797678,6.930150589,7.099302142,7.004351198,6.853200748,6.889263063,6.898271277,7.270612194,7.024888467,6.789083209,6.825279371,7.035054846,6.932389733,6.79337526,6.968492615,6.923687418,6.955946454,6.95909535,6.923530279,7.14314468,6.996966198,6.959893566,6.836012835,6.939211022,6.91966271
Compound3152,6.857965361,6.69365816,6.854233259,6.82445927,6.999981806,6.687238263,6.860876509,6.883458806,6.952902056,7.011236979,6.907283946,6.727783169,6.930413341,6.598363202,6.952189935,6.92448256,6.819879656,6.924370429,7.016260269,6.765589418,7.006596658,6.847847074,6.742060304,6.88488245,6.729691571,7.001462467,6.854100137
Compound1795,5.669645698,5.919116286,5.716157914,5.617784099,5.828173127,5.597823632,5.533399752,5.669423452,5.66392295,5.816236098,5.907219384,5.73901382,5.607407853,5.908709999,5.764162877,5.641245284,5.534270448,5.775887967,5.63420171,5.66877899,5.70901211,5.710350599,5.632476717,5.839936374,5.78470262,5.75084647,5.775770699
Compound3176,6.807503281,6.950825552,6.846394294,6.842237182,6.980248045,6.773513378,6.952047621,6.793218643,6.819950156,7.082235789,6.82201928,6.754808402,6.801872029,6.69223628,6.767749433,6.906459455,7.011267075,6.886784979,6.991344009,6.708127729,6.638383065,6.765674355,6.975262519,6.973681003,6.836117359,6.868598758,6.919963788
Compound3436,6.766767653,6.69770585,6.784708349,6.758383509,6.892745144,6.862846505,6.477117627,6.824837557,6.602935879,6.841998628,6.696883776,6.729493257,6.709525812,6.781428502,6.802157467,6.816806986,6.792467772,6.824479606,6.87424618,6.708348361,6.73362775,6.748812196,6.795461747,6.728547209,6.774434077,6.8078342,6.743160574
